Team,Group,Matches Played,Won ,Drawn,Lost,Total Goals,Right Foot Goals,Left Foot Goals,Head Goals,Other Goals,Goals Inside Area,Goals Outside Area,Penalties Scored
Albania,B,3,0,1,2,3,1,1,1,0,3,0,0
Austria,D,4,2,0,2,7,3,1,2,0,6,0,1
Belgium,E,4,1,1,2,2,2,0,0,0,1,1,0
Croatia,B,3,0,2,1,3,1,1,0,0,2,0,0
Czechia,F,3,0,1,2,3,2,0,0,1,2,1,0
Denmark,C,4,0,3,1,2,2,0,0,0,1,1,0
England,C,6,3,3,0,7,3,2,2,0,6,1,1
France,D,6,2,3,1,5,1,0,1,0,2,0,1
Georgia,F,4,1,1,2,5,3,1,0,0,4,0,2
Germany,A,5,3,1,1,11,7,3,1,0,9,2,2
Hungary,A,3,1,0,2,2,1,0,1,0,2,0,0
Italy,B,4,1,1,2,3,2,0,1,0,2,1,0
Netherlands,D,6,3,1,2,10,7,1,1,0,7,2,0
Poland,D,3,0,1,2,3,2,0,1,0,3,0,1
Portugal,F,3,2,2,1,5,1,2,0,0,3,0,0
Romania,E,4,1,1,2,5,3,1,0,0,2,2,1
Scotland,A,3,0,1,2,2,0,1,0,0,1,0,0
Serbia,C,3,0,2,1,1,0,0,1,0,1,0,0
Slovakia,E,4,1,1,2,5,2,0,2,0,4,0,0
Slovenia,C,4,0,4,0,2,1,1,0,0,1,1,0
Spain,B,6,6,0,0,13,4,6,2,0,11,1,0
Switzerland,A,5,2,3,0,8,6,2,0,0,6,2,0
Turkiye,F,5,3,0,2,8,4,2,2,0,6,2,0
Ukraine,E,3,1,1,1,2,1,1,0,0,2,0,0